HUMAN DATE TIME,NODE TIME(SET),NODE TIME(SET),PITCH,LAT,LON,STRUCTURE HEIGHT,MODULE LENGTH,TIMEZONE,DEGREE DELTA,PWM DUTYCYCLE(%),VOLTAGE LIMIT,CURRENT LIMIT,NIGHT STOWINGANGLE,NUMBER OF ROWS,WIND,TIMESTAMP(H),TIMESTAMP(L),EXPECTED ANGLE,ANGLE DIFFERENCE,ACTUATOR CURRENT,BATTERY VOLTAGE,TILT ANGLE,LAST ACTUATION TIME,LAST ACTUATION TIME,MANUAL MODE,ALARM CODE,CLEANNING STOWING,RESERVED,RESERVED,TIMESTAMP(H),TIMESTAMP(L),EXPECTED ANGLE,ANGLE DIFFERENCE,ACTUATOR CURRENT,BATTERY VOLTAGE,TILT ANGLE,LAST ACTUATION TIME,LAST ACTUATION TIME,MANUAL MODE,ALARM CODE,CLEANNING STOWING,RESERVED,RESERVED,TIMESTAMP(H),TIMESTAMP(L),EXPECTED ANGLE,ANGLE DIFFERENCE,ACTUATOR CURRENT,BATTERY VOLTAGE,TILT ANGLE,LAST ACTUATION TIME,LAST ACTUATION TIME,MANUAL MODE,ALARM CODE,CLEANNING STOWING,RESERVED,RESERVED,TIMESTAMP(H),TIMESTAMP(L),EXPECTED ANGLE,ANGLE DIFFERENCE,ACTUATOR CURRENT,BATTERY VOLTAGE,TILT ANGLE,LAST ACTUATION TIME,LAST ACTUATION TIME,MANUAL MODE,ALARM CODE,CLEANNING STOWING,RESERVED,RESERVED,TIMESTAMP(H),TIMESTAMP(L),EXPECTED ANGLE,ANGLE DIFFERENCE,ACTUATOR CURRENT,BATTERY VOLTAGE,TILT ANGLE,LAST ACTUATION TIME,LAST ACTUATION TIME,MANUAL MODE,ALARM CODE,CLEANNING STOWING,RESERVED,RESERVED
Thu Sep 7 00:39:38 2017,22960,18418,430,2795,7299,150,200,550,200,50,2300,780,17800,5,0,22960,18418,17800,30,168,2700,17770,22959,62922,0,0,0,146,199,22960,18418,17800,20,207,2700,17780,22959,62919,0,0,0,187,228,22960,18418,17800,40,134,2700,17760,22959,62934,0,0,0,5,169,22960,18418,17800,30,114,2700,17770,22959,62935,0,0,0,87,158,22960,18418,17800,20,207,2700,17780,22959,62953,0,0,0,181,246,
Thu Sep 7 00:39:38 2017,22960,18418,430,2795,7299,150,200,550,200,50,2300,780,17800,5,0,22960,18418,17800,30,168,2700,17770,22959,62922,0,0,0,146,199,22960,18418,17800,20,207,2700,17780,22959,62919,0,0,0,187,228,22960,18418,17800,40,134,2700,17760,22959,62934,0,0,0,5,169,22960,18418,17800,30,114,2700,17770,22959,62935,0,0,0,87,158,22960,18418,17800,20,207,2700,17780,22959,62953,0,0,0,181,246,
Thu Sep 7 00:43:39 2017,22960,18659,430,2795,7299,150,200,550,200,50,2300,780,17800,5,0,22960,18659,17800,20,168,2700,17780,22959,62922,0,0,0,146,199,22960,18659,17800,20,207,2700,17780,22959,62919,0,0,0,187,228,22960,18659,17800,40,134,2700,17760,22959,62934,0,0,0,5,169,22960,18659,17800,40,114,2700,17760,22959,62935,0,0,0,87,158,22960,18659,17800,0,207,2700,17800,22959,62953,0,0,0,181,246,
Thu Sep 7 00:43:39 2017,22960,18659,430,2795,7299,150,200,550,200,50,2300,780,17800,5,0,22960,18659,17800,20,168,2700,17780,22959,62922,0,0,0,146,199,22960,18659,17800,20,207,2700,17780,22959,62919,0,0,0,187,228,22960,18659,17800,40,134,2700,17760,22959,62934,0,0,0,5,169,22960,18659,17800,40,114,2700,17760,22959,62935,0,0,0,87,158,22960,18659,17800,0,207,2700,17800,22959,62953,0,0,0,181,246,
Thu Sep 7 00:47:40 2017,22960,18900,430,2795,7299,150,200,550,200,50,2300,780,17800,5,0,22960,18900,17800,30,168,2700,17770,22959,62922,0,0,0,146,199,22960,18900,17800,30,207,2700,17770,22959,62919,0,0,0,187,228,22960,18900,17800,20,134,2700,17780,22959,62934,0,0,0,5,169,22960,18900,17800,40,114,2700,17760,22959,62935,0,0,0,87,158,22960,18900,17800,10,207,2700,17790,22959,62953,0,0,0,181,246,
Thu Sep 7 00:47:40 2017,22960,18900,430,2795,7299,150,200,550,200,50,2300,780,17800,5,0,22960,18900,17800,30,168,2700,17770,22959,62922,0,0,0,146,199,22960,18900,17800,30,207,2700,17770,22959,62919,0,0,0,187,228,22960,18900,17800,20,134,2700,17780,22959,62934,0,0,0,5,169,22960,18900,17800,40,114,2700,17760,22959,62935,0,0,0,87,158,22960,18900,17800,10,207,2700,17790,22959,62953,0,0,0,181,246,
Thu Sep 7 00:51:41 2017,22960,19141,430,2795,7299,150,200,550,200,50,2300,780,17800,5,0,22960,19141,17800,30,168,2700,17770,22959,62922,0,0,0,146,199,22960,19141,17800,30,207,2700,17770,22959,62919,0,0,0,187,228,22960,19141,17800,40,134,2700,17760,22959,62934,0,0,0,5,169,22960,19141,17800,40,114,2700,17760,22959,62935,0,0,0,87,158,22960,19141,17800,20,207,2700,17780,22959,62953,0,0,0,181,246,
Thu Sep 7 00:51:41 2017,22960,19141,430,2795,7299,150,200,550,200,50,2300,780,17800,5,0,22960,19141,17800,30,168,2700,17770,22959,62922,0,0,0,146,199,22960,19141,17800,30,207,2700,17770,22959,62919,0,0,0,187,228,22960,19141,17800,40,134,2700,17760,22959,62934,0,0,0,5,169,22960,19141,17800,40,114,2700,17760,22959,62935,0,0,0,87,158,22960,19141,17800,20,207,2700,17780,22959,62953,0,0,0,181,246,
Thu Sep 7 00:55:41 2017,22960,19381,430,2795,7299,150,200,550,200,50,2300,780,17800,5,0,22960,19381,17800,20,168,2700,17780,22959,62922,0,0,0,146,199,22960,19381,17800,30,207,2700,17770,22959,62919,0,0,0,187,228,22960,19381,17800,20,134,2700,17780,22959,62934,0,0,0,5,169,22960,19381,17800,30,114,2700,17770,22959,62935,0,0,0,87,158,22960,19381,17800,10,207,2700,17790,22959,62953,0,0,0,181,246,
Thu Sep 7 00:55:41 2017,22960,19381,430,2795,7299,150,200,550,200,50,2300,780,17800,5,0,22960,19381,17800,20,168,2700,17780,22959,62922,0,0,0,146,199,22960,19381,17800,30,207,2700,17770,22959,62919,0,0,0,187,228,22960,19381,17800,20,134,2700,17780,22959,62934,0,0,0,5,169,22960,19381,17800,30,114,2700,17770,22959,62935,0,0,0,87,158,22960,19381,17800,10,207,2700,17790,22959,62953,0,0,0,181,246,
