HUMAN DATE TIME,ACTUATOR CURRENT,ACTUATOR CURRENT,ACTUATOR CURRENT,ACTUATOR CURRENT,ACTUATOR CURRENT
Thu Sep 7 07:21:01 2017,133,156,108,83,131
Thu Sep 7 07:21:01 2017,133,156,108,83,131
Thu Sep 7 07:25:02 2017,101,156,108,91,125
Thu Sep 7 07:25:02 2017,101,156,108,91,125
Thu Sep 7 07:29:02 2017,101,133,96,74,119
Thu Sep 7 07:29:02 2017,101,133,96,74,119
Thu Sep 7 07:33:03 2017,105,133,96,74,119
Thu Sep 7 07:33:03 2017,105,133,96,74,119
Thu Sep 7 07:33:03 2017,105,133,96,74,119
Thu Sep 7 07:33:03 2017,105,133,96,74,119
Thu Sep 7 07:41:05 2017,87,133,89,74,94
Thu Sep 7 07:41:05 2017,87,133,89,74,94
Thu Sep 7 07:45:05 2017,86,121,80,68,94
Thu Sep 7 07:45:05 2017,86,121,80,68,94
Thu Sep 7 07:49:06 2017,86,105,65,68,77
Thu Sep 7 07:49:06 2017,86,105,65,68,77
Thu Sep 7 07:53:07 2017,67,105,62,47,63
Thu Sep 7 07:53:07 2017,67,105,62,47,63
Thu Sep 7 07:57:07 2017,55,103,62,64,63
Thu Sep 7 07:57:07 2017,55,103,62,64,63
Thu Sep 7 08:01:08 2017,60,99,55,64,53
Thu Sep 7 08:01:08 2017,60,99,55,64,53
Thu Sep 7 08:05:09 2017,60,99,47,52,50
Thu Sep 7 08:05:09 2017,60,99,47,52,50
Thu Sep 7 08:05:09 2017,60,99,47,52,50
Thu Sep 7 08:05:09 2017,60,99,47,52,50
Thu Sep 7 08:13:10 2017,47,117,32,44,55
Thu Sep 7 08:13:10 2017,47,117,32,44,55
Thu Sep 7 08:17:11 2017,61,136,56,42,73
Thu Sep 7 08:17:11 2017,61,136,56,42,73
Thu Sep 7 08:21:11 2017,66,138,48,57,53
Thu Sep 7 08:21:11 2017,66,138,48,57,53
Thu Sep 7 08:25:12 2017,66,138,48,57,70
Thu Sep 7 08:25:12 2017,66,138,48,57,70
Thu Sep 7 08:29:13 2017,211,138,48,57,70
Thu Sep 7 08:29:13 2017,211,138,48,57,70
Thu Sep 7 08:33:13 2017,211,138,48,57,70
Thu Sep 7 08:33:13 2017,211,138,48,57,70
Thu Sep 7 08:37:14 2017,211,138,48,57,70
Thu Sep 7 08:37:14 2017,211,138,48,57,70
Thu Sep 7 08:41:14 2017,211,138,48,57,70
Thu Sep 7 08:41:14 2017,211,138,48,57,70
Thu Sep 7 08:45:15 2017,211,138,48,57,70
Thu Sep 7 08:45:15 2017,211,138,48,57,70
Thu Sep 7 08:49:16 2017,211,138,48,57,70
Thu Sep 7 08:49:16 2017,211,138,48,57,70
