HUMAN DATE TIME,ACTUATOR CURRENT,ACTUATOR CURRENT,ACTUATOR CURRENT,ACTUATOR CURRENT,ACTUATOR CURRENT
Tue Oct 10 07:06:15 2017,167,782,100,101,146
Tue Oct 10 07:06:15 2017,167,782,100,101,146
Tue Oct 10 07:10:16 2017,167,782,100,101,169
Tue Oct 10 07:10:16 2017,167,782,100,101,169
Tue Oct 10 07:14:17 2017,169,782,116,104,160
Tue Oct 10 07:14:17 2017,169,782,116,104,160
Tue Oct 10 07:18:17 2017,169,782,116,104,160
Tue Oct 10 07:18:17 2017,169,782,116,104,160
Tue Oct 10 07:22:18 2017,149,782,105,77,143
Tue Oct 10 07:22:18 2017,149,782,105,77,143
Tue Oct 10 07:22:18 2017,149,782,105,77,143
Tue Oct 10 07:22:18 2017,149,782,105,77,143
Tue Oct 10 07:30:20 2017,136,782,105,88,120
Tue Oct 10 07:30:20 2017,136,782,105,88,120
Tue Oct 10 07:34:21 2017,136,782,85,88,120
Tue Oct 10 07:34:21 2017,136,782,85,88,120
Tue Oct 10 07:38:22 2017,122,782,85,84,109
Tue Oct 10 07:38:22 2017,122,782,85,84,109
Tue Oct 10 07:42:23 2017,120,782,91,84,109
Tue Oct 10 07:42:23 2017,120,782,91,84,109
Tue Oct 10 07:46:23 2017,120,782,94,81,90
Tue Oct 10 07:46:23 2017,120,782,94,81,90
Tue Oct 10 07:50:24 2017,102,782,94,82,92
Tue Oct 10 07:50:24 2017,102,782,94,82,92
Tue Oct 10 07:54:25 2017,102,782,77,82,92
Tue Oct 10 07:54:25 2017,102,782,77,82,92
Tue Oct 10 07:54:25 2017,102,782,77,82,92
Tue Oct 10 07:54:25 2017,102,782,77,82,92
Tue Oct 10 08:02:26 2017,93,782,61,57,73
Tue Oct 10 08:02:26 2017,93,782,61,57,73
Tue Oct 10 08:06:27 2017,73,782,51,57,63
Tue Oct 10 08:06:27 2017,73,782,51,57,63
Tue Oct 10 08:10:28 2017,77,782,37,55,63
Tue Oct 10 08:10:28 2017,77,782,37,55,63
Tue Oct 10 08:14:28 2017,77,782,37,49,92
Tue Oct 10 08:14:28 2017,77,782,37,49,92
Tue Oct 10 08:18:29 2017,54,782,47,56,105
Tue Oct 10 08:18:29 2017,54,782,47,56,105
Tue Oct 10 08:22:30 2017,62,782,55,45,96
Tue Oct 10 08:22:30 2017,62,782,55,45,96
Tue Oct 10 08:26:30 2017,42,782,50,52,103
Tue Oct 10 08:26:30 2017,42,782,50,52,103
Tue Oct 10 08:26:30 2017,42,782,50,52,103
Tue Oct 10 08:26:30 2017,42,782,50,52,103
Tue Oct 10 08:34:31 2017,54,782,62,58,110
Tue Oct 10 08:34:31 2017,54,782,62,58,110
Tue Oct 10 08:38:32 2017,54,782,62,58,110
Tue Oct 10 08:38:32 2017,54,782,62,58,110
Tue Oct 10 08:42:32 2017,54,782,62,58,110
Tue Oct 10 08:42:32 2017,54,782,62,58,110
Tue Oct 10 08:46:33 2017,54,782,62,58,110
Tue Oct 10 08:46:33 2017,54,782,62,58,110
Tue Oct 10 08:50:33 2017,54,782,62,58,110
Tue Oct 10 08:50:33 2017,54,782,62,58,110
Tue Oct 10 08:54:34 2017,54,782,62,58,110
Tue Oct 10 08:54:34 2017,54,782,62,58,110
Tue Oct 10 08:58:34 2017,54,782,62,58,110
Tue Oct 10 08:58:34 2017,54,782,62,58,110
Tue Oct 10 09:02:35 2017,54,782,62,58,110
Tue Oct 10 09:02:35 2017,54,782,62,58,110
Tue Oct 10 09:06:35 2017,54,782,62,58,110
Tue Oct 10 09:06:35 2017,54,782,62,58,110
Tue Oct 10 09:10:36 2017,54,782,62,58,110
Tue Oct 10 09:10:36 2017,54,782,62,58,110
Tue Oct 10 09:14:36 2017,54,782,62,58,110
Tue Oct 10 09:14:36 2017,54,782,62,58,110
Tue Oct 10 09:18:36 2017,54,782,62,58,110
Tue Oct 10 09:18:36 2017,54,782,62,58,110
Tue Oct 10 09:22:37 2017,54,782,62,58,110
Tue Oct 10 09:22:37 2017,54,782,62,58,110
Tue Oct 10 09:26:37 2017,54,782,62,58,110
Tue Oct 10 09:26:37 2017,54,782,62,58,110
Tue Oct 10 09:30:38 2017,54,782,62,58,110
Tue Oct 10 09:30:38 2017,54,782,62,58,110
Tue Oct 10 09:34:38 2017,54,782,62,58,110
Tue Oct 10 09:34:38 2017,54,782,62,58,110
Tue Oct 10 09:38:38 2017,54,782,62,58,110
Tue Oct 10 09:38:38 2017,54,782,62,58,110
Tue Oct 10 09:42:39 2017,54,782,62,58,110
Tue Oct 10 09:42:39 2017,54,782,62,58,110
Tue Oct 10 09:46:39 2017,54,782,62,58,110
Tue Oct 10 09:46:39 2017,54,782,62,58,110
Tue Oct 10 09:50:39 2017,198,782,62,58,110
Tue Oct 10 09:50:39 2017,198,782,62,58,110
Tue Oct 10 09:54:40 2017,198,782,160,136,110
Tue Oct 10 09:54:40 2017,198,782,160,136,110
Tue Oct 10 09:58:40 2017,270,782,160,136,283
Tue Oct 10 09:58:40 2017,270,782,160,136,283
Tue Oct 10 10:02:40 2017,270,782,160,160,283
Tue Oct 10 10:02:40 2017,270,782,160,160,283
Tue Oct 10 10:06:41 2017,294,782,200,160,369
Tue Oct 10 10:06:41 2017,294,782,200,160,369
Tue Oct 10 10:10:41 2017,294,782,212,171,369
Tue Oct 10 10:10:41 2017,294,782,212,171,369
